Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
Hunt,value-10,DBCE,DBCE,0,184,22.64320548,111.7996475,6.08E-06,0.009408641,FALSE,238.5439522,0.04456742
Hunt,value-10,DBCE,DBCE,0,185,25.93323265,106.0339805,0.801955698,2.992197458,FALSE,240.2935932,3.03110012
Hunt,value-10,DBCE,DBCE,0,186,18.28907829,150.7117223,0.001433427,0.009918654,FALSE,242.3810148,0.125228382
Hunt,value-10,DBCE,DBCE,0,187,23.36049263,361.3423689,12.47348198,73.06093793,FALSE,243.8001614,74.83824612
Hunt,value-10,DBCE,DBCE,0,188,17.5404153,159.9921883,0.226330706,0.312320536,FALSE,245.0061336,0.462603071
Hunt,value-10,DBCE,DBCE,0,189,22.93069625,109.6436746,6.25E-06,0.009974074,FALSE,246.4547052,0.009974364
Hunt,value-10,DBCE,DBCE,0,190,22.94035692,109.6192438,6.44E-06,0.010290965,TRUE,248.0367899,0.010541714
Hunt,value-10,DBCE,DBCE,0,191,13.39878808,190.6405695,0.000747438,0.010618312,FALSE,249.8835521,0.019130008
Hunt,value-10,DBCE,DBCE,0,192,22.91268791,109.8757108,7.10E-06,0.010237798,FALSE,251.0420482,0.010238524
Hunt,value-10,DBCE,DBCE,0,193,22.31046632,115.1438379,6.87E-06,0.010364541,FALSE,252.9948583,0.013348129
Hunt,value-10,DBCE,DBCE,0,194,9.64378777,218.3594603,0.000271385,0.010472742,FALSE,254.2814469,0.02504752
Hunt,value-10,DBCE,DBCE,0,195,13.37909429,190.5993087,0.004081634,0.010096548,FALSE,255.768502,0.050951151
Hunt,value-10,DBCE,DBCE,0,196,21.46251243,123.0394454,0.003317056,0.039877769,FALSE,258.0763347,0.072063392
Hunt,value-10,DBCE,DBCE,0,197,20.30635387,132.2508273,8.20E-06,0.010096136,FALSE,259.141562,0.144614629
Hunt,value-10,DBCE,DBCE,0,198,7.398590239,245.3027465,0.021685366,0.010192667,FALSE,260.3822465,0.300034442
Hunt,value-10,DBCE,DBCE,0,199,22.24191772,115.788987,1.27E-05,0.010042418,FALSE,261.8229301,0.015769163
Hunt,value-10,DBCE,DBCE,0,200,22.20946667,116.1147667,6.75E-06,0.010158943,TRUE,263.1339831,0.036668861
Hunt,value-10,DBCE,DBCE,0,201,22.90661171,110.0479478,6.31E-06,0.01024297,FALSE,264.2101364,0.045668036
Hunt,value-10,DBCE,DBCE,0,202,24.01681812,142.9233051,1.807409041,0.50553897,FALSE,265.0788436,0.652436333
Hunt,value-10,DBCE,DBCE,0,203,12.97800315,193.7759828,0.001475894,0.012296656,FALSE,266.5263369,0.041426
Hunt,value-10,DBCE,DBCE,0,204,22.33999163,115.0078734,0.000196687,0.010431029,FALSE,268.1069016,0.016139415
Hunt,value-10,DBCE,DBCE,0,205,23.03556881,108.9762976,6.46E-06,0.010534622,FALSE,269.0374343,0.035729129
Hunt,value-10,DBCE,DBCE,0,206,23.09499836,108.51261,6.61E-06,0.010761644,TRUE,270.2634485,0.041396233
Hunt,value-10,DBCE,DBCE,0,207,23.14526401,108.1046566,6.97E-06,0.010848837,TRUE,271.7075651,0.048495269
Hunt,value-10,DBCE,DBCE,0,208,23.19819095,107.6697094,1.39E-05,0.010988852,TRUE,273.1043582,0.049482237
Hunt,value-10,DBCE,DBCE,0,209,13.70183775,188.9473758,0.001271379,0.012550678,FALSE,274.4797451,0.059674246
Hunt,value-10,DBCE,DBCE,0,210,22.61972894,112.7434273,7.11E-06,0.011060072,FALSE,275.8689466,0.052529352
Hunt,value-10,DBCE,DBCE,0,211,23.35383128,106.218205,6.84E-06,0.011184569,FALSE,276.7845111,0.025717227
Hunt,value-10,DBCE,DBCE,0,212,23.38765252,105.8981791,6.86E-06,0.011248431,TRUE,278.4326138,0.047489033
